Anio,Mes,CodigoPais,PaisOrigen,LongitudPais,LatitudPais,CodigoDepto,DepartamentoDestino,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2016,Octubre,589,Perú,-75.25,-10,5,ANTIOQUIA,-755760017134,624858636743,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,51327.75,138.58,420915.45,51.33
2016,Octubre,589,Perú,-75.25,-10,5,ANTIOQUIA,-755760017134,624858636743,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,13590.81,65.92,197227.9,13.59
2016,Octubre,63,Argentina,-64,-34,5,ANTIOQUIA,-755760017134,624858636743,0408110000 - Yemas de huevo secas.,Avícola,Huevos,KG,17000,85.61,249325.57,17
2016,Octubre,63,Argentina,-64,-34,5,ANTIOQUIA,-755760017134,624858636743,"0408910000 - Los demás huevos de ave sin cáscara, secos.",Avícola,Huevos,KG,200,1.24,3608.81,0.2
2016,Octubre,589,Perú,-75.25,-10,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,43199.98,112.32,343063.63,43.2
2016,Octubre,249,Estados Unidos,-98.5,39.76,5,ANTIOQUIA,-755760017134,624858636743,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,24494.24,104.01,308048.67,24.49
2016,Octubre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207120000 - Carne de gallo o gallina sin trocear, congelada.",Avícola,Carne y despojos comestibles de gallos y gallinas,KG,24494.24,37.79,115833.17,24.49
2016,Octubre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,36160.75,105.58,322721.85,36.16
2016,Octubre,589,Perú,-75.25,-10,5,ANTIOQUIA,-755760017134,624858636743,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,38099.73,102.87,313637.3,38.1
2016,Octubre,589,Perú,-75.25,-10,5,ANTIOQUIA,-755760017134,624858636743,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,6311.53,30.61,91784.76,6.31
2016,Octubre,211,Chile,-71,-30,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,47998.44,225.84,670849.18,48
2016,Octubre,249,Estados Unidos,-98.5,39.76,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,24403.25,48.42,148845,24.4
2016,Octubre,589,Perú,-75.25,-10,13,BOLÍVAR,-754964264795,103849883546,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,44362.85,228.33,683019.92,44.36
2016,Octubre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207250000 - Carne de pavo (gallipavo) sin trocear, congelado.",Avícola,Carne y despojos comestibles de pavos,KG,14579.61,49.01,152236.81,14.58
2016,Octubre,249,Estados Unidos,-98.5,39.76,11,"BOGOTÁ, D. C.",-74106715324,464993705899,"0207270000 - Trozos y despojos de pavo (gallipavo), congelados.",Avícola,Carne y despojos comestibles de pavos,KG,12390.02,43.89,130759.75,12.39
